class,case,timel,timem,timeh,thrptl,thrptm,thrpth
dct2d,scalar,27.458e-6,27.500e-6,27.556e-6,141.76e6,142.04e6,142.26e6
dct2d,avx2,3.3135e-6,3.3179e-6,3.3245e-6,1.1474e9,1.1497e9,1.1513e9
dct2d,avx512,2.7715e-6,2.7810e-6,2.7917e-6,1.3664e9,1.3717e9,1.3764e9
jarosz_compress,reference,1.6104e-3,1.6117e-3,1.6132e-3,619.90e6,620.48e6,620.96e6
jarosz_compress,scalar,75.005e-6,75.159e-6,75.325e-6,12.965e9,12.993e9,13.020e9
jarosz_compress,avx2,12.016e-6,12.053e-6,12.090e-6,80.777e9,81.026e9,81.274e9
quantize,scalar,1.2203e-6,1.2805e-6,1.3352e-6,731.40e6,762.64e6,800.25e6
quantize,avx2,298.84e-9,320.52e-9,339.25e-9,2.8111e9,2.9754e9,3.1912e9
sum_of_gradients,scalar,184.57e-12,184.73e-12,184.89e-12,5158.1e9,5162.6e9,5166.9e9
sum_of_gradients,avx512,184.32e-12,184.58e-12,184.95e-12,5156.3e9,5166.6e9,5174.0e9
hash,reference,1.6518e-3,1.6533e-3,1.6550e-3,604.21e6,604.84e6,605.40e6
hash,scalar,117.35e-6,117.54e-6,117.74e-6,8.1894e9,8.2027e9,8.2154e9
hash,avx2,30.534e-6,30.621e-6,30.708e-6,31.394e9,31.483e9,31.572e9
hash,avx512,29.644e-6,29.756e-6,29.869e-6,32.273e9,32.396e9,32.519e9
hash_4threads,reference,21.039e-3,21.116e-3,21.195e-3,2.2116e9,2.2198e9,2.2280e9
hash_4threads,scalar,35.051e-6,35.254e-6,35.456e-6,27.271e9,27.429e9,27.564e9
hash_4threads,avx2,12.240e-6,12.388e-6,12.536e-6,77.063e9,78.024e9,78.831e9
hash_4threads,avx512,12.063e-6,12.211e-6,12.359e-6,78.214e9,79.042e9,79.787e9
